BALANCE_AS_OF_DATE,BALANCE_AS_OF_DAY,PLANT_NAME,MATERIAL_NAME,UNRESRICTED_STOCK,STOCK_SELL_VALUE,SHELF_LIFE_IN_MONTH,SHELF_LIFE_IN_DAYS,AGING_DAYS,IS_OVER_SHELFLIFE,DAYS_TO_EXPIRE,LOSS_VALUE_PERCENT,LOSS_VALUE(OCCUR),LOSS_VALUE,PREVENTABLE
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0413,33000,93390,7,210,306.00,YES,-96,20,"18,678.00","18,678.00", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0413,33000,93390,7,210,276.00,YES,-66,20,"18,678.00","18,678.00", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0007,89325,186689,2,60,490.00,YES,-430,10,"18,668.90","18,668.90", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0007,89325,186689,2,60,459.00,YES,-399,10,"18,668.90","18,668.90", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0007,89325,186689,2,60,429.00,YES,-369,10,"18,668.90","18,668.90", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0007,89325,186689,2,60,398.00,YES,-338,10,"18,668.90","18,668.90", -   
2024-10-31,45596,SINGAPORE-WAREHOUSE,MAT-0135,53625,93308,3,90,245.00,YES,-155,20,"18,661.60","18,661.60", -   
2024-06-30,45473,SINGAPORE-WAREHOUSE,MAT-0374,34375,74594,3,90,368.00,YES,-278,25,"18,648.50","18,648.50", -   
2024-06-30,45473,SINGAPORE-WAREHOUSE,MAT-0419,57750,124163,3,90,368.00,YES,-278,15,"18,624.45","18,624.45", -   
2024-07-31,45504,SINGAPORE-WAREHOUSE,MAT-0419,57750,124163,3,90,337.00,YES,-247,15,"18,624.45","18,624.45", -   
2024-09-30,45565,SINGAPORE-WAREHOUSE,MAT-0419,57750,124163,3,90,276.00,YES,-186,15,"18,624.45","18,624.45", -   
2024-08-31,45535,SINGAPORE-WAREHOUSE,MAT-0395,60500,74415,7,210,306.00,YES,-96,25,"18,603.75","18,603.75", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,276.00,YES,-96,25,"18,600.00","18,600.00", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,245.00,YES,-65,25,"18,600.00","18,600.00", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,245.00,YES,-65,25,"18,600.00","18,600.00", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,245.00,YES,-65,25,"18,600.00","18,600.00", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,215.00,YES,-35,25,"18,600.00","18,600.00", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,215.00,YES,-35,25,"18,600.00","18,600.00", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,215.00,YES,-35,25,"18,600.00","18,600.00", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,184.00,YES,-4,25,"18,600.00","18,600.00", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,184.00,YES,-4,25,"18,600.00","18,600.00", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,80000,74400,6,180,184.00,YES,-4,25,"18,600.00","18,600.00", -   
2024-01-31,45322,SINGAPORE-WAREHOUSE,MAT-0247,134750,92978,6,180,519.00,YES,-339,20,"18,595.60","18,595.60", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0332,79975,74377,6,180,276.00,YES,-96,25,"18,594.25","18,594.25", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,79975,74377,6,180,245.00,YES,-65,25,"18,594.25","18,594.25", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,79975,74377,6,180,215.00,YES,-35,25,"18,594.25","18,594.25", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,79975,74377,6,180,184.00,YES,-4,25,"18,594.25","18,594.25", -   
2024-02-29,45351,SINGAPORE-WAREHOUSE,MAT-0301,28875,61793,8,240,490.00,YES,-250,30,"18,537.90","18,537.90", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0301,28875,61793,8,240,459.00,YES,-219,30,"18,537.90","18,537.90", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0301,28875,61793,8,240,459.00,YES,-219,30,"18,537.90","18,537.90", -   
2024-04-30,45412,SINGAPORE-WAREHOUSE,MAT-0419,57750,123585,3,90,429.00,YES,-339,15,"18,537.75","18,537.75", -   
2024-04-30,45412,SINGAPORE-WAREHOUSE,MAT-0419,57750,123585,3,90,429.00,YES,-339,15,"18,537.75","18,537.75", -   
2024-05-31,45443,SINGAPORE-WAREHOUSE,MAT-0419,57750,123585,3,90,398.00,YES,-308,15,"18,537.75","18,537.75", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0035,96250,74113,6,180,459.00,YES,-279,25,"18,528.25","18,528.25", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0035,96250,74113,6,180,459.00,YES,-279,25,"18,528.25","18,528.25", -   
2024-06-30,45473,SINGAPORE-WAREHOUSE,MAT-0221,65000,74100,8,240,368.00,YES,-128,25,"18,525.00","18,525.00", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0021,24750,92565,4,120,184.00,YES,-64,20,"18,513.00","18,513.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0430,22200,74026,5,150,306.00,YES,-156,25,"18,506.50","18,506.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0430,22200,74026,5,150,276.00,YES,-126,25,"18,506.50","18,506.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0146,13525,61674,5,150,276.00,YES,-126,30,"18,502.20","18,502.20", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0146,13525,61674,5,150,245.00,YES,-95,30,"18,502.20","18,502.20", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0146,13525,61674,5,150,215.00,YES,-65,30,"18,502.20","18,502.20", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0146,13525,61674,5,150,184.00,YES,-34,30,"18,502.20","18,502.20", -   
2024-02-29,45351,SINGAPORE-WAREHOUSE,MAT-0339,24000,36960,7,210,490.00,YES,-280,50,"18,480.00","18,480.00", -   
2024-12-31,45657,SINGAPORE-WAREHOUSE,MAT-0225,88000,61600,3,90,184.00,YES,-94,30,"18,480.00","18,480.00", -   
2024-10-31,45596,SINGAPORE-WAREHOUSE,MAT-0051,37500,73875,8,240,245.00,YES,-5,25,"18,468.75","18,468.75", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0320,16200,73872,4,120,519.00,YES,-399,25,"18,468.00","18,468.00", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0378,65950,184660,8,240,215.00,NO,25,10, -   ,"18,466.00","18,466.00"
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0378,65950,184660,8,240,184.00,NO,56,10, -   ,"18,466.00","18,466.00"
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0378,65950,184660,8,240,398.00,YES,-158,10,"18,466.00","18,466.00", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0378,65950,184660,8,240,368.00,YES,-128,10,"18,466.00","18,466.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0378,65950,184660,8,240,337.00,YES,-97,10,"18,466.00","18,466.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0378,65950,184660,8,240,306.00,YES,-66,10,"18,466.00","18,466.00", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0378,65950,184660,8,240,276.00,YES,-36,10,"18,466.00","18,466.00", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0378,65950,184660,8,240,245.00,YES,-5,10,"18,466.00","18,466.00", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0419,57750,123008,3,90,459.00,YES,-369,15,"18,451.20","18,451.20", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0419,57750,123008,3,90,459.00,YES,-369,15,"18,451.20","18,451.20", -   
2024-11-30,45626,SINGAPORE-WAREHOUSE,MAT-0247,151225,92247,6,180,215.00,YES,-35,20,"18,449.40","18,449.40", -   
2024-12-31,45657,SINGAPORE-WAREHOUSE,MAT-0419,59125,122980,3,90,184.00,YES,-94,15,"18,447.00","18,447.00", -   
2024-12-31,45657,SINGAPORE-WAREHOUSE,MAT-0419,59125,122980,3,90,184.00,YES,-94,15,"18,447.00","18,447.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0175,34375,92125,5,150,337.00,YES,-187,20,"18,425.00","18,425.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0175,34350,92058,5,150,306.00,YES,-156,20,"18,411.60","18,411.60", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0430,22075,73633,5,150,245.00,YES,-95,25,"18,408.25","18,408.25", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0156,12125,92029,8,240,245.00,YES,-5,20,"18,405.80","18,405.80", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0050,13600,61336,6,180,368.00,YES,-188,30,"18,400.80","18,400.80", -   
2024-08-31,45535,SINGAPORE-WAREHOUSE,MAT-0098,237875,183827,5,150,306.00,YES,-156,10,"18,382.70","18,382.70", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0007,87950,183816,2,60,429.00,YES,-369,10,"18,381.60","18,381.60", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0007,87950,183816,2,60,398.00,YES,-338,10,"18,381.60","18,381.60", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0007,87950,183816,2,60,368.00,YES,-308,10,"18,381.60","18,381.60", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0055,70125,183728,2,60,398.00,YES,-338,10,"18,372.80","18,372.80", -   
2024-02-29,45351,SINGAPORE-WAREHOUSE,MAT-0419,57750,122430,3,90,490.00,YES,-400,15,"18,364.50","18,364.50", -   
2024-07-31,45504,SINGAPORE-WAREHOUSE,MAT-0221,65000,73450,8,240,337.00,YES,-97,25,"18,362.50","18,362.50", -   
2024-08-31,45535,SINGAPORE-WAREHOUSE,MAT-0221,65000,73450,8,240,306.00,YES,-66,25,"18,362.50","18,362.50", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0430,23375,73398,5,150,368.00,YES,-218,25,"18,349.50","18,349.50", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0430,23375,73398,5,150,337.00,YES,-187,25,"18,349.50","18,349.50", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0198,116875,366988,6,180,184.00,YES,-4,5,"18,349.40","18,349.40", -   
2024-12-31,45657,SINGAPORE-WAREHOUSE,MAT-0135,0,91699,3,90,184.00,YES,-94,20,"18,339.80","18,339.80", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0135,42625,91644,3,90,459.00,YES,-369,20,"18,328.80","18,328.80", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0135,42625,91644,3,90,459.00,YES,-369,20,"18,328.80","18,328.80", -   
2024-09-30,45565,SINGAPORE-WAREHOUSE,MAT-0035,59125,73315,6,180,276.00,YES,-96,25,"18,328.75","18,328.75", -   
2024-09-30,45565,SINGAPORE-WAREHOUSE,MAT-0355,27450,73292,7,210,276.00,YES,-66,25,"18,323.00","18,323.00", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,276.00,YES,-96,25,"18,309.50","18,309.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,276.00,YES,-96,25,"18,309.50","18,309.50", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,245.00,YES,-65,25,"18,309.50","18,309.50", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,245.00,YES,-65,25,"18,309.50","18,309.50", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,245.00,YES,-65,25,"18,309.50","18,309.50", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,245.00,YES,-65,25,"18,309.50","18,309.50", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,215.00,YES,-35,25,"18,309.50","18,309.50", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,215.00,YES,-35,25,"18,309.50","18,309.50", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,215.00,YES,-35,25,"18,309.50","18,309.50", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,184.00,YES,-4,25,"18,309.50","18,309.50", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,184.00,YES,-4,25,"18,309.50","18,309.50", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,78750,73238,6,180,184.00,YES,-4,25,"18,309.50","18,309.50", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0332,78725,73214,6,180,459.00,YES,-279,25,"18,303.50","18,303.50", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,78725,73214,6,180,245.00,YES,-65,25,"18,303.50","18,303.50", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,78725,73214,6,180,215.00,YES,-35,25,"18,303.50","18,303.50", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,78725,73214,6,180,184.00,YES,-4,25,"18,303.50","18,303.50", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0332,78700,73191,6,180,429.00,YES,-249,25,"18,297.75","18,297.75", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0198,116400,365496,6,180,337.00,YES,-157,5,"18,274.80","18,274.80", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0258,12462,73029,9,270,490.00,YES,-220,25,"18,257.25","18,257.25", -   
2023-12-31,45291,SINGAPORE-WAREHOUSE,MAT-0221,67500,72900,8,240,550.00,YES,-310,25,"18,225.00","18,225.00", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0332,78375,72889,6,180,398.00,YES,-218,25,"18,222.25","18,222.25", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0332,78375,72889,6,180,368.00,YES,-188,25,"18,222.25","18,222.25", -   
2024-10-31,45596,SINGAPORE-WAREHOUSE,MAT-0225,88000,60720,3,90,245.00,YES,-155,30,"18,216.00","18,216.00", -   
2024-11-30,45626,SINGAPORE-WAREHOUSE,MAT-0221,65000,72800,8,240,215.00,NO,25,25, -   ,"18,200.00","18,200.00"
2024-09-30,45565,SINGAPORE-WAREHOUSE,MAT-0221,65000,72800,8,240,276.00,YES,-36,25,"18,200.00","18,200.00", -   
2024-10-31,45596,SINGAPORE-WAREHOUSE,MAT-0221,65000,72800,8,240,245.00,YES,-5,25,"18,200.00","18,200.00", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0319,0,363825,8,240,459.00,YES,-219,5,"18,191.25","18,191.25", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0319,0,363825,8,240,429.00,YES,-189,5,"18,191.25","18,191.25", -   
2024-10-31,45596,SINGAPORE-WAREHOUSE,MAT-0135,52250,90915,3,90,245.00,YES,-155,20,"18,183.00","18,183.00", -   
2024-09-30,45565,SINGAPORE-WAREHOUSE,MAT-0225,85250,60528,3,90,276.00,YES,-186,30,"18,158.40","18,158.40", -   
2024-02-29,45351,SINGAPORE-WAREHOUSE,MAT-0135,42625,90791,3,90,490.00,YES,-400,20,"18,158.20","18,158.20", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0265,23900,181401,8,240,276.00,YES,-36,10,"18,140.10","18,140.10", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0198,115475,362592,6,180,245.00,YES,-65,5,"18,129.60","18,129.60", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0198,115475,362592,6,180,215.00,YES,-35,5,"18,129.60","18,129.60", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0198,115475,362592,6,180,184.00,YES,-4,5,"18,129.60","18,129.60", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0315,39875,120821,5,150,368.00,YES,-218,15,"18,123.15","18,123.15", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0315,39875,120821,5,150,337.00,YES,-187,15,"18,123.15","18,123.15", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0315,39875,120821,5,150,306.00,YES,-156,15,"18,123.15","18,123.15", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0315,39875,120821,5,150,276.00,YES,-126,15,"18,123.15","18,123.15", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0163,400,72485,2,60,276.00,YES,-216,25,"18,121.25","18,121.25", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0339,24000,36240,7,210,459.00,YES,-249,50,"18,120.00","18,120.00", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0339,24000,36240,7,210,459.00,YES,-249,50,"18,120.00","18,120.00", -   
2024-08-31,45535,SINGAPORE-WAREHOUSE,MAT-0267,99000,120780,2,60,306.00,YES,-246,15,"18,117.00","18,117.00", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0295,34650,72419,6,180,459.00,YES,-279,25,"18,104.75","18,104.75", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0295,34650,72419,6,180,429.00,YES,-249,25,"18,104.75","18,104.75", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0295,34650,72419,6,180,398.00,YES,-218,25,"18,104.75","18,104.75", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0295,34650,72419,6,180,368.00,YES,-188,25,"18,104.75","18,104.75", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0007,86625,181046,2,60,337.00,YES,-277,10,"18,104.60","18,104.60", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0007,86625,181046,2,60,306.00,YES,-246,10,"18,104.60","18,104.60", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0007,86625,181046,2,60,276.00,YES,-216,10,"18,104.60","18,104.60", -   
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0386,86550,180890,2,60,550.00,YES,-490,10,"18,089.00","18,089.00", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0391,19200,60288,3,90,398.00,YES,-308,30,"18,086.40","18,086.40", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0115,20350,60236,7,210,459.00,YES,-249,30,"18,070.80","18,070.80", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0115,20350,60236,7,210,429.00,YES,-219,30,"18,070.80","18,070.80", -   
2024-08-31,45535,SINGAPORE-WAREHOUSE,MAT-0035,59125,72133,6,180,306.00,YES,-126,25,"18,033.25","18,033.25", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0332,77500,72075,6,180,429.00,YES,-249,25,"18,018.75","18,018.75", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0332,77500,72075,6,180,276.00,YES,-96,25,"18,018.75","18,018.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,77500,72075,6,180,245.00,YES,-65,25,"18,018.75","18,018.75", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,77500,72075,6,180,215.00,YES,-35,25,"18,018.75","18,018.75", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,77500,72075,6,180,215.00,YES,-35,25,"18,018.75","18,018.75", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,77500,72075,6,180,184.00,YES,-4,25,"18,018.75","18,018.75", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,77500,72075,6,180,184.00,YES,-4,25,"18,018.75","18,018.75", -   
2024-12-31,45657,SINGAPORE-WAREHOUSE,MAT-0419,57750,120120,3,90,184.00,YES,-94,15,"18,018.00","18,018.00", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0332,77475,72052,6,180,276.00,YES,-96,25,"18,013.00","18,013.00", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0332,77475,72052,6,180,245.00,YES,-65,25,"18,013.00","18,013.00", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0332,77475,72052,6,180,215.00,YES,-35,25,"18,013.00","18,013.00", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0332,77475,72052,6,180,184.00,YES,-4,25,"18,013.00","18,013.00", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0055,68750,180125,2,60,184.00,YES,-124,10,"18,012.50","18,012.50", -   
2024-11-30,45626,SINGAPORE-WAREHOUSE,MAT-0355,37125,72023,7,210,215.00,YES,-5,25,"18,005.75","18,005.75", -   
2024-11-30,45626,SINGAPORE-WAREHOUSE,MAT-0355,37125,72023,7,210,215.00,YES,-5,25,"18,005.75","18,005.75", -   
2024-05-31,45443,SINGAPORE-WAREHOUSE,MAT-0339,24000,36000,7,210,398.00,YES,-188,50,"18,000.00","18,000.00", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0393,19250,71995,5,150,398.00,YES,-248,25,"17,998.75","17,998.75", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0035,93500,71995,6,180,459.00,YES,-279,25,"17,998.75","17,998.75", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0035,93500,71995,6,180,459.00,YES,-279,25,"17,998.75","17,998.75", -   
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0055,68650,179863,2,60,550.00,YES,-490,10,"17,986.30","17,986.30", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0055,68650,179863,2,60,519.00,YES,-459,10,"17,986.30","17,986.30", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0055,68650,179863,2,60,490.00,YES,-430,10,"17,986.30","17,986.30", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0055,68650,179863,2,60,459.00,YES,-399,10,"17,986.30","17,986.30", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0009,14300,44902,5,150,519.00,YES,-369,40,"17,960.80","17,960.80", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0009,14300,44902,5,150,490.00,YES,-340,40,"17,960.80","17,960.80", -   
2024-11-30,45626,SINGAPORE-WAREHOUSE,MAT-0225,88000,59840,3,90,215.00,YES,-125,30,"17,952.00","17,952.00", -   
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0083,9450,71726,10,300,550.00,YES,-250,25,"17,931.50","17,931.50", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0391,19025,59739,3,90,368.00,YES,-278,30,"17,921.70","17,921.70", -   
2024-12-31,45657,SINGAPORE-WAREHOUSE,MAT-0225,85250,59675,3,90,184.00,YES,-94,30,"17,902.50","17,902.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0163,9425,71536,2,60,276.00,YES,-216,25,"17,884.00","17,884.00", -   
2024-04-30,45412,SINGAPORE-WAREHOUSE,MAT-0339,24000,35760,7,210,429.00,YES,-219,50,"17,880.00","17,880.00", -   
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0382,0,178789,6,180,550.00,YES,-370,10,"17,878.90","17,878.90", -   
2024-12-31,45657,SINGAPORE-WAREHOUSE,MAT-0135,0,89348,3,90,184.00,YES,-94,20,"17,869.60","17,869.60", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0035,18050,71478,6,180,368.00,YES,-188,25,"17,869.50","17,869.50", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0035,18050,71478,6,180,337.00,YES,-157,25,"17,869.50","17,869.50", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0100,9853,59514,5,150,398.00,YES,-248,30,"17,854.20","17,854.20", -   
2024-07-31,45504,SINGAPORE-WAREHOUSE,MAT-0051,36225,71363,8,240,337.00,YES,-97,25,"17,840.75","17,840.75", -   
2024-08-31,45535,SINGAPORE-WAREHOUSE,MAT-0051,36225,71363,8,240,306.00,YES,-66,25,"17,840.75","17,840.75", -   
2024-09-30,45565,SINGAPORE-WAREHOUSE,MAT-0051,36225,71363,8,240,276.00,YES,-36,25,"17,840.75","17,840.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0163,0,71346,2,60,245.00,YES,-185,25,"17,836.50","17,836.50", -   
2024-12-31,45657,SINGAPORE-WAREHOUSE,MAT-0109,148500,178200,8,240,184.00,NO,56,10, -   ,"17,820.00","17,820.00"
2024-01-31,45322,SINGAPORE-WAREHOUSE,MAT-0135,42625,89086,3,90,519.00,YES,-429,20,"17,817.20","17,817.20", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0382,0,177870,6,180,519.00,YES,-339,10,"17,787.00","17,787.00", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0382,0,177870,6,180,490.00,YES,-310,10,"17,787.00","17,787.00", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0397,22450,88902,9,270,519.00,YES,-249,20,"17,780.40","17,780.40", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0199,3537,50761,3,90,245.00,YES,-155,35,"17,766.35","17,766.35", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0374,11050,71052,3,90,276.00,YES,-186,25,"17,763.00","17,763.00", -   
2024-09-30,45565,SINGAPORE-WAREHOUSE,MAT-0081,25500,39471,5,150,276.00,YES,-126,45,"17,761.95","17,761.95", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0356,31625,118278,7,210,398.00,YES,-188,15,"17,741.70","17,741.70", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0099,20625,88688,6,180,337.00,YES,-157,20,"17,737.60","17,737.60", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0099,20625,88688,6,180,337.00,YES,-157,20,"17,737.60","17,737.60", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0099,20625,88688,6,180,306.00,YES,-126,20,"17,737.60","17,737.60", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0099,20625,88688,6,180,276.00,YES,-96,20,"17,737.60","17,737.60", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0099,20625,88688,6,180,184.00,YES,-4,20,"17,737.60","17,737.60", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0332,76250,70913,6,180,519.00,YES,-339,25,"17,728.25","17,728.25", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0356,31600,118184,7,210,306.00,YES,-96,15,"17,727.60","17,727.60", -   
2023-12-31,45291,SINGAPORE-WAREHOUSE,MAT-0271,92075,70898,7,210,550.00,YES,-340,25,"17,724.50","17,724.50", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0366,33750,70875,8,240,459.00,YES,-219,25,"17,718.75","17,718.75", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0366,33750,70875,8,240,459.00,YES,-219,25,"17,718.75","17,718.75", -   
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0327,31575,118091,8,240,550.00,YES,-310,15,"17,713.65","17,713.65", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0374,11000,70730,3,90,459.00,YES,-369,25,"17,682.50","17,682.50", -   
